,0,1,2,3,4,5,6,7,8,9,10,11
0,1.0,22.0,1.0,0.0,7.25,0.0,1.0,0.0,1.0,0.0,1.0,2.0
1,0.0,38.0,1.0,0.0,71.2833,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2,0.0,26.0,0.0,0.0,7.925,1.0,0.0,0.0,1.0,0.0,1.0,1.0
3,0.0,35.0,1.0,0.0,53.1,0.0,0.0,1.0,0.0,1.0,0.0,2.0
4,1.0,35.0,0.0,0.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,1.0
5,1.0,26.0,0.0,0.0,8.4583,0.0,1.0,0.0,1.0,0.0,1.0,1.0
6,1.0,54.0,0.0,0.0,51.8625,0.0,1.0,0.0,0.0,1.0,0.0,1.0
7,1.0,2.0,3.0,1.0,21.075,0.0,0.0,0.0,1.0,0.0,1.0,5.0
8,0.0,27.0,0.0,2.0,11.1333,0.0,0.0,1.0,1.0,0.0,1.0,3.0
9,0.0,14.0,1.0,0.0,30.0708,0.0,0.0,1.0,1.0,0.0,0.0,2.0
10,0.0,4.0,1.0,1.0,16.7,1.0,0.0,0.0,0.0,0.0,1.0,3.0
11,0.0,58.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,1.0,0.0,1.0
12,1.0,20.0,0.0,0.0,8.05,0.0,1.0,0.0,1.0,0.0,1.0,1.0
13,1.0,39.0,1.0,5.0,31.275,0.0,1.0,0.0,1.0,0.0,1.0,7.0
14,0.0,14.0,0.0,0.0,7.8542,1.0,0.0,0.0,1.0,0.0,1.0,1.0
15,0.0,55.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
16,1.0,2.0,4.0,1.0,29.125,0.0,0.0,0.0,1.0,0.0,1.0,6.0
17,1.0,31.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
18,0.0,31.0,1.0,0.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
19,0.0,31.0,0.0,0.0,7.225,0.0,0.0,1.0,1.0,0.0,1.0,1.0
20,1.0,35.0,0.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
21,1.0,34.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22,0.0,15.0,0.0,0.0,8.0292,1.0,0.0,0.0,1.0,0.0,1.0,1.0
